Hate Speech,Offensive language
Jaki,Jahili
Asara,Wawiya
Kashe,Hauka
Kaji,Wawuya
Kaji jaki,Kaji
Aishi daman jaki ne,Wawa
Amman wannan wlh ba qaramin jaki bane.,Akuya
Allah ya tsinemiki,Wawa kawai
Lalle yau na yarda jaki fa jakine.,Gaskiya
Kaji dakikin jahilin jaki ka kamo makaranta!!!,Wawa ai tasu tayi kyau
Dan uwarki Ina ruwan Allah shegiya tsinann kawae.,Mahaukaci
Uwarki akatsinewa ai shegiya.,Wawaye Allah ya I Sammu wlh
Baba ki da mama ki uwaki a uwarki.,Jahilci yafi hauka ciwo
Duk wanda yazageta Allah yatsinemai.,Kaji Dan jaka Wawa wazaka burgero
Wai me yasa kulun kai Jakine?,Haukar banza ne wlh hmm
Drogba ne ya tsine mata.,"Hhhhhhhhh wallahi behaduba, gaskiya Kai wawane ai babu a littafi."
Andaiyi Asara bantaba ganin mace marar hankaliba.,Wawa jahili marar albarka Dabba
Allah yakiyaye kinyi asara akan ganin sa.,Wanna duk haushisu don iran takaima Israel hari ne Allah ya kyauta da irin wannan hassadan.
Allah ya tsine Miki albarka.,Kaji wani wawa ko ina akaji izala tafi darika muna godimawa allah namu hada manzansa da wani kuna hada annabi da wani shehu.
Kashewa,"Kunga wawa shasha ai su wadannan basu yi da'war waliyyai ne su ba, balle har a dinga Kai su matsayin Sahabbai ko ma ake Allantar dasu."
Shekewa,Bayin Allah ne da suka yaki jahilcin darika da ilimi suka bayyana gaskiyar addini karkashi. Alkitaabu was Sunnah.
Arne,Allah ya tsinemiki
Armiya,Alhamdulillah these people contribute in the world of Islam. And ni banga wani aibu ba acikin wnn haukan naka.
"Da ante asara, Subhanallahi, ashe mazinaciya ce.",Ance kuje kuyi karatu amman kunce a'a to ai ga illarta nan. Hauka maganin ki Allah.
Jakin banza abinda akakoyamuku tatsuniya.,"Shehu yamutu a haukace ga almajiransa sun dauko hanya, wannan kuma ai duk basuce su sahabbai bane."
Duk wanda yazageta Allah yatsinemai.,Amma ya kamata ka je ka koyi ilimin sarfu kasan yanda ake nisba! Nasan dai dariya kake so ayi maka!
Allah ne ya tsinewa chalcy.,Wannan haukar bazata Hana mutane fahimtar iskancinku ba sugano shehunnai kuke bauta ba Allah ba.
Ai Gabadaya Team Din Aka Tsinewa.,"Wanna kuma wai sabon comedy ne to beyi dadi ba, wia tsaya amma dai jaki ne wasu karnukan ne suka dsaka wannan haukan."
To dan uwarki atsinemashi mana saimi.,Hauka phone store ??
"Hhhh kaga jaki, jankin fa jakine ??????.",Allah ya rabamu da hauka wannan sam ba koyarwar addinin musulunci bane Kuma nima Dan tinjaniyya ne.
Duk masu goyata ne sai anbari xuciyarsu tamutu suke goyata.,"Allah yakara mahaukaciiya kawai, mata sunrude son abin duniya kawai."
Kaji hauka duk wani Dan ball Wanda musilmiba Allah ka tsinemai shida Madrid din.,Kashe
"Haukan, dadin abun dai mu munyi rayuwa da su kuma mun san su.",Hauka
Batsine mata akayi ba kawai duk masu goyata ne sai anbari xuciyarsu tamutu suke goyata.,Mahaukaciya
Ke jahila durin uwarki kije ki ure jahila.,Mahaukata
"Shehu ka makaryata ne, hhhhhhhhhh.",Mahaukatan banza
Kaji hauka duk wani Dan ball Wanda musilmiba Allah ka tsinemai shida Madrid din.,Wawaye Allah ya I Sammu wlh
Suna koyarwa akan tafarkin Allah da manzonsa.,Dan asara
Saboda jakaceke saboda wani jaki kikasabawa Allah.,Asararriya
"Asara, asara, da ante asara.",Shashasha
Tsine a Chelsea Baki San number da aka tsinewa ba kwakwata.,Mahaukaci
Allah ya tsinewa arsenal ??.,Mahaukaciya
Karuwa.,Mahaukaciya
Jaki A Jakinsa Zai Ta Tabbata ??.,Mahaukata
Uwarki,Mahaukata jahilai
uwarka,Mahaukatan banza
ubanka,"SHEHI YA HAUKACE, ALMAJIRANSAMA SUN HAUKACE, ALLAH YA KAWO MUKU DAUKI!"
ubanki,"Shehu yamutu a haukace ga almajiransa sun dauko hanya, wannan kuma ai duk basuce su sahabbai bane kuma basuce abauta musuba kuma kaga sunayen nasu dukka sunayene masu keu,amma nakufa Attalili ??"
bura ubanki,Tinda naga yarinyar nan tana hada toni kroos da Messi na tabbatar akwae wani mahaukaci dayake vatashi a rubuce taxo tanayinmna hauka.
buraubanka,To Ai sam ma bai yi dadi ba kabawa wancan mahaukacin ya fada
dan shegiya,"Toh ai su duka wadanan da ka lissafa basu bautar Shehu. 

In kaima Shehu ne to lallai ka haukace"
dan kutumar uba,Wae waye yake vawa wannan yarinyar lavarin Ball tana xua tanayi mna hauka ne.
dakiki,Wannan hauka ne
dan mahaukaciya,wannan haukar bazata Hana mutane fahimtar iskancinku ba sugano shehunnai kuke bauta ba Allah ba
Tsinanne,"wannan kuma wai sabon comedy ne  to beyi dadi ba, wia tsaya amma dai jaki ne wasu karnukan ne suka dsaka wannan haukan, dadin abun dai mu munyi rayuwa da su kuma mun san su, ta tabba kai shehun ka makaryata ne hhhhhhhhhh"
laananne,Ya Allah ya nunamana randa za a dena wannan hauka
la'ananne,Wawuya
banza,Wawaye Allah ya I Sammu wlh
dan arniya,Asararriya
banziya,dan asara
dolo,shashasha
